BLOCKCE20,GEOID20,NAME20,HOUSING20,POP20,geometry,pool_count,visitors_per_1000_residents
2004,230010201002004,Block 2004,6,8,"POLYGON ((-70.218256 44.098668, -70.217787 44.099018, -70.217386 44.099311, -70.217337 44.099215, -70.217297 44.099154, -70.217209 44.098937, -70.217901 44.098434, -70.218013 44.098373, -70.218074 44.098494, -70.218126 44.098575, -70.218182 44.098622, -70.218256 44.098668))",4,500.0
2009,230010201002009,Block 2009,24,37,"POLYGON ((-70.214698 44.097982, -70.214229 44.098132, -70.214106 44.098187, -70.21405 44.098216, -70.213559 44.09741, -70.214451 44.097122, -70.214936 44.097897, -70.214698 44.097982))",3,81.08
3001,230010201003001,Block 3001,3,4,"POLYGON ((-70.222705 44.09728, -70.222488 44.097249, -70.222277 44.097226, -70.221842 44.097179, -70.221822 44.097203, -70.221781 44.097199, -70.221761 44.097225, -70.221717 44.097316, -70.221705 44.097379, -70.221712 44.097487, -70.221699 44.097575, -70.22169 44.097733, -70.22168 44.097821, -70.221679 44.097911, -70.221665 44.097976, -70.221636 44.09804, -70.221573 44.098083, -70.22148 44.098132, -70.221332 44.098173, -70.221287 44.098178, -70.221118 44.098186, -70.221045 44.098194, -70.221053 44.098356, -70.221048 44.098374, -70.221124 44.098445, -70.221161 44.098454, -70.221233 44.098628, -70.221258 44.098609, -70.221281 44.098577, -70.22131 44.098562, -70.221356 44.098559, -70.221413 44.098607, -70.221418 44.098625, -70.2214 44.098658, -70.221353 44.098712, -70.221324 44.098732, -70.221279 44.098754, -70.221304 44.098892, -70.221321 44.098935, -70.221213 44.098958, -70.221236 44.099033, -70.220965 44.099139, -70.220911 44.099188, -70.221139 44.099396, -70.2211 44.099422, -70.221079 44.099447, -70.221064 44.099507, -70.221044 44.099539, -70.221 44.09958, -70.220983 44.099624, -70.220961 44.099644, -70.220929 44.099662, -70.220912 44.099687, -70.220467 44.099426, -70.220437 44.099426, -70.220361 44.09941, -70.220323 44.099391, -70.220289 44.099368, -70.220261 44.099343, -70.220122 44.099253, -70.219986 44.099176, -70.219962 44.09915, -70.219901 44.099109, -70.219822 44.09908, -70.219725 44.099035, -70.219692 44.099037, -70.2196 44.099003, -70.219561 44.098999, -70.219523 44.098988, -70.219484 44.098986, -70.219367 44.098969, -70.219342 44.098989, -70.218742 44.098255, -70.21885 44.098179, -70.219763 44.097548, -70.21988 44.097478, -70.220032 44.097404, -70.22017 44.097345, -70.220616 44.097216, -70.221203 44.097067, -70.221531 44.097046, -70.221589 44.097055, -70.221814 44.097074, -70.222909 44.097189, -70.222705 44.09728))",2,500.0
3002,230010201003002,Block 3002,48,67,"POLYGON ((-70.221203 44.097067, -70.220616 44.097216, -70.22017 44.097345, -70.220032 44.097404, -70.21988 44.097478, -70.219763 44.097548, -70.21885 44.098179, -70.218742 44.098255, -70.218577 44.098372, -70.218413 44.098209, -70.218292 44.0976, -70.218288 44.097471, -70.218226 44.09718, -70.218209 44.097136, -70.218123 44.096728, -70.21807 44.096443, -70.218047 44.096279, -70.218048 44.096249, -70.217999 44.096018, -70.21797 44.095941, -70.217935 44.095841, -70.217892 44.095742, -70.217691 44.095415, -70.217367 44.094914, -70.217148 44.094541, -70.217003 44.094316, -70.216749 44.093893, -70.216926 44.093838, -70.217018 44.093808, -70.217369 44.093691, -70.218255 44.093411, -70.21831 44.093393, -70.218498 44.093705, -70.219604 44.095477, -70.21963 44.095519, -70.219644 44.095539, -70.219703 44.09553, -70.220572 44.095379, -70.220694 44.095359, -70.220711 44.095406, -70.220722 44.095439, -70.220731 44.095472, -70.220745 44.095529, -70.220781 44.095709, -70.220933 44.096619, -70.220941 44.096707, -70.221203 44.097067))",8,119.4
3011,230010201003011,Block 3011,17,35,"POLYGON ((-70.221177 44.095198, -70.220657 44.095285, -70.220362 44.094831, -70.219982 44.09421, -70.219768 44.093854, -70.220206 44.093715, -70.220237 44.09371, -70.220262 44.093708, -70.220709 44.093586, -70.22084 44.093794, -70.22051 44.094123, -70.220713 44.094458, -70.221177 44.095198))",2,57.14
3015,230010201003015,Block 3015,39,104,"POLYGON ((-70.220209 44.092778, -70.219972 44.09286, -70.219754 44.09293, -70.21964 44.092726, -70.219062 44.091798, -70.218808 44.09138, -70.21872 44.091243, -70.219154 44.091097, -70.219369 44.091417, -70.219687 44.091929, -70.219781 44.092089, -70.21986 44.092211, -70.219976 44.092409, -70.220086 44.092572, -70.220209 44.092778))",8,76.92
1008,230010202001008,Block 1008,40,77,"POLYGON ((-70.218885 44.104175, -70.218731 44.104325, -70.218604 44.10446, -70.218484 44.104597, -70.218327 44.104754, -70.218187 44.104906, -70.218049 44.105037, -70.217768 44.105346, -70.217501 44.105613, -70.217332 44.105798, -70.217016 44.105646, -70.216556 44.105416, -70.216812 44.105127, -70.217204 44.104717, -70.217377 44.104544, -70.217893 44.103997, -70.218079 44.103812, -70.218346 44.103521, -70.219143 44.103905, -70.218885 44.104175))",3,38.96
2001,230010202002001,Block 2001,15,49,"POLYGON ((-70.211985 44.107575, -70.211871 44.107803, -70.21176 44.108039, -70.210398 44.107677, -70.210228 44.107625, -70.210549 44.106997, -70.210723 44.107053, -70.211038 44.107131, -70.212074 44.107414, -70.211985 44.107575))",4,81.63
2003,230010202002003,Block 2003,21,48,"POLYGON ((-70.212283 44.107022, -70.212074 44.107414, -70.211038 44.107131, -70.210723 44.107053, -70.210549 44.106997, -70.210718 44.106684, -70.21086 44.10643, -70.210996 44.106473, -70.211394 44.106583, -70.212375 44.10684, -70.212283 44.107022))",1,20.83
2004,230010202002004,Block 2004,48,81,"POLYGON ((-70.211859 44.104701, -70.211638 44.105088, -70.211173 44.105916, -70.210922 44.10632, -70.21086 44.10643, -70.210718 44.106684, -70.210459 44.106562, -70.210151 44.10641, -70.209994 44.10632, -70.20988 44.106264, -70.210233 44.105622, -70.210595 44.104965, -70.210969 44.104287, -70.211755 44.10469, -70.211859 44.104701))",3,37.04
